SUBURB,suburb,count
KEILOR DOWNS,Keilor Downs,187
KEILOR EAST,Keilor East,476
KEILOR LODGE,Keilor Lodge,4
KEILOR NORTH,Keilor North,1
KEILOR PARK,Keilor Park,54
KENSINGTON,Kensington,491
KEW,Kew,872
KEW EAST,Kew East,218
KEYSBOROUGH,Keysborough,848
KILSYTH,Kilsyth,585
KILSYTH SOUTH,Kilsyth South,54
KINGS PARK,Kings Park,171
KINGSBURY,Kingsbury,91
KINGSVILLE,Kingsville,184
KNOXFIELD,Knoxfield,275
KOO WEE RUP,Koo Wee Rup,154
KOOYONG,Kooyong,33
KURUNJANG,Kurunjang,406
LALOR,Lalor,579
LANG LANG,Lang Lang,91
LANG LANG EAST,Lang Lang East,2
LANGWARRIN,Langwarrin,1022
LANGWARRIN SOUTH,Langwarrin South,19
LAUNCHING PLACE,Launching Place,86
LAVERTON,Laverton,272
LILYDALE,Lilydale,700
LITTLE RIVER,Little River,21
LOWER PLENTY,Lower Plenty,159
LYNBROOK,Lynbrook,192
LYNDHURST,Lyndhurst,268
LYSTERFIELD,Lysterfield,144
LYSTERFIELD SOUTH,Lysterfield South,14
MACCLESFIELD,Macclesfield,17
MACLEOD,Macleod,355
MAIDSTONE,Maidstone,376
MAIN RIDGE,Main Ridge,16
MALVERN,Malvern,406
MALVERN EAST,Malvern East,763
MAMBOURIN,Mambourin,9
MANOR LAKES,Manor Lakes,382
MARIBYRNONG,Maribyrnong,499
MARYKNOLL,Maryknoll,7
MCCRAE,McCrae,222
MCKINNON,McKinnon,194
MCMAHONS CREEK,McMahons Creek,10
MEADOW HEIGHTS,Meadow Heights,301
MELBOURNE,Melbourne,1848
MELTON,Melton,440
MELTON SOUTH,Melton South,636
MELTON WEST,Melton West,428
MENTONE,Mentone,551
MENZIES CREEK,Menzies Creek,28
MERNDA,Mernda,901
MERRICKS,Merricks,4
MERRICKS BEACH,Merricks Beach,13
MERRICKS NORTH,Merricks North,14
MICKLEHAM,Mickleham,771
MIDDLE PARK,Middle Park,163
MILL PARK,Mill Park,715
MILLGROVE,Millgrove,98
MITCHAM,Mitcham,639
MONBULK,Monbulk,142
MONOMEITH,Monomeith,1
MONT ALBERT,Mont Albert,151
