"","Month_Yr","SUBURB","n"
"244","2018-09","MICKLEHAM",11
"245","2018-09","MIDDLE PARK",5
"246","2018-09","MILL PARK",23
"247","2018-09","MILLGROVE",3
"248","2018-09","MITCHAM",17
"249","2018-09","MONBULK",3
"250","2018-09","MONT ALBERT",1
"251","2018-09","MONT ALBERT NORTH",7
"252","2018-09","MONTMORENCY",10
"253","2018-09","MONTROSE",6
"254","2018-09","MOONEE PONDS",14
"255","2018-09","MOORABBIN",3
"256","2018-09","MOOROOLBARK",23
"257","2018-09","MORDIALLOC",10
"258","2018-09","MORNINGTON",32
"259","2018-09","MOUNT DANDENONG",1
"260","2018-09","MOUNT ELIZA",18
"261","2018-09","MOUNT EVELYN",9
"262","2018-09","MOUNT MARTHA",23
"263","2018-09","MOUNT WAVERLEY",22
"264","2018-09","MULGRAVE",14
"265","2018-09","MURRUMBEENA",10
"266","2018-09","NAR NAR GOON",1
"267","2018-09","NARRE WARREN",24
"268","2018-09","NARRE WARREN EAST",1
"269","2018-09","NARRE WARREN NORTH",3
"270","2018-09","NARRE WARREN SOUTH",17
"271","2018-09","NEWPORT",15
"272","2018-09","NIDDRIE",8
"273","2018-09","NOBLE PARK",21
"274","2018-09","NOBLE PARK NORTH",5
"275","2018-09","NORTH MELBOURNE",15
"276","2018-09","NORTHCOTE",27
"277","2018-09","NOTTING HILL",1
"278","2018-09","NUNAWADING",5
"279","2018-09","OAK PARK",5
"280","2018-09","OAKLEIGH",6
"281","2018-09","OAKLEIGH EAST",9
"282","2018-09","OAKLEIGH SOUTH",2
"283","2018-09","OFFICER",20
"284","2018-09","OLINDA",2
"285","2018-09","ORMOND",7
"286","2018-09","PAKENHAM",82
"287","2018-09","PAKENHAM UPPER",1
"288","2018-09","PARK ORCHARDS",2
"289","2018-09","PARKDALE",18
"290","2018-09","PARKVILLE",3
"291","2018-09","PASCOE VALE",20
"292","2018-09","PASCOE VALE SOUTH",3
"293","2018-09","PATTERSON LAKES",9
"294","2018-09","PEARCEDALE",1
"295","2018-09","PLENTY",2
"296","2018-09","PLUMPTON",4
"297","2018-09","POINT COOK",55
"298","2018-09","PORT MELBOURNE",18
"299","2018-09","PORTSEA",3
"300","2018-09","POWELLTOWN",2
"301","2018-09","PRAHRAN",25
"302","2018-09","PRESTON",33
"303","2018-09","RESEARCH",6
"304","2018-09","RESERVOIR",49
"305","2018-09","RICHMOND",51
"306","2018-09","RINGWOOD",26
"307","2018-09","RINGWOOD EAST",19
"308","2018-09","RINGWOOD NORTH",5
"309","2018-09","RIPPONLEA",2
"310","2018-09","ROCKBANK",4
"311","2018-09","ROSANNA",10
"312","2018-09","ROSEBUD",24
"313","2018-09","ROWVILLE",18
"314","2018-09","ROXBURGH PARK",21
"315","2018-09","RYE",17
"316","2018-09","SAFETY BEACH",9
"317","2018-09","SANDHURST",3
"318","2018-09","SANDRINGHAM",11
"319","2018-09","SASSAFRAS",4
"320","2018-09","SCORESBY",1
"321","2018-09","SEABROOK",1
"322","2018-09","SEAFORD",18
"323","2018-09","SEDDON",7
"324","2018-09","SELBY",2
"325","2018-09","SEVILLE",2
"326","2018-09","SEVILLE EAST",1
"327","2018-09","SILVAN",1
"328","2018-09","SKYE",7
"329","2018-09","SOMERS",2
"330","2018-09","SOMERVILLE",11
"331","2018-09","SORRENTO",4
"332","2018-09","SOUTH KINGSVILLE",2
"333","2018-09","SOUTH MELBOURNE",11
"334","2018-09","SOUTH MORANG",23
"335","2018-09","SOUTH YARRA",35
"336","2018-09","SOUTHBANK",31
"337","2018-09","SPOTSWOOD",4
"338","2018-09","SPRINGVALE",14
"339","2018-09","SPRINGVALE SOUTH",7
"340","2018-09","ST ALBANS",20
"341","2018-09","ST ANDREWS",2
"342","2018-09","ST HELENA",3
"343","2018-09","ST KILDA",30
"344","2018-09","ST KILDA EAST",19
"345","2018-09","ST KILDA WEST",3
"346","2018-09","STRATHMORE",14
"347","2018-09","STRATHMORE HEIGHTS",1
"348","2018-09","STRATHTULLOH",1
"349","2018-09","SUNBURY",45
"350","2018-09","SUNSHINE",9
"351","2018-09","SUNSHINE NORTH",11
"352","2018-09","SUNSHINE WEST",7
"353","2018-09","SURREY HILLS",15
"354","2018-09","SYDENHAM",3
"355","2018-09","TARNEIT",47
"356","2018-09","TAYLORS HILL",8
"357","2018-09","TAYLORS LAKES",9
"358","2018-09","TECOMA",5
"359","2018-09","TEMPLESTOWE",11
"360","2018-09","TEMPLESTOWE LOWER",12
"361","2018-09","THE BASIN",6
"362","2018-09","THE PATCH",2
"363","2018-09","THOMASTOWN",12
"364","2018-09","THORNBURY",26
"365","2018-09","THORNHILL PARK",1
"366","2018-09","TOOLERN VALE",1
"367","2018-09","TOORADIN",1
"368","2018-09","TOORAK",14
"369","2018-09","TOOTGAROOK",7
"370","2018-09","TRAVANCORE",4
"371","2018-09","TRUGANINA",20
"372","2018-09","TULLAMARINE",7
"373","2018-09","TYABB",3
"374","2018-09","TYNONG",1
"375","2018-09","UPPER FERNTREE GULLY",6
"376","2018-09","UPWEY",13
"377","2018-09","VERMONT",6
"378","2018-09","VERMONT SOUTH",8
"379","2018-09","VIEWBANK",6
"380","2018-09","WANDIN NORTH",3
"381","2018-09","WANTIRNA",12
"382","2018-09","WANTIRNA SOUTH",15
"383","2018-09","WARBURTON",3
"384","2018-09","WARNEET",1
"385","2018-09","WARRANDYTE",3
"386","2018-09","WARRANDYTE SOUTH",1
"387","2018-09","WARRANWOOD",3
"388","2018-09","WATERWAYS",3
"389","2018-09","WATSONIA",4
