"","year","SUBURB","n"
"314","2018","OAKLANDS JUNCTION",1
"315","2018","OAKLEIGH",21
"316","2018","OAKLEIGH EAST",31
"317","2018","OAKLEIGH SOUTH",28
"318","2018","OFFICER",86
"319","2018","OLINDA",8
"320","2018","ORMOND",36
"321","2018","PAKENHAM",321
"322","2018","PAKENHAM UPPER",2
"323","2018","PANTON HILL",2
"324","2018","PARK ORCHARDS",3
"325","2018","PARKDALE",61
"326","2018","PARKVILLE",17
"327","2018","PASCOE VALE",81
"328","2018","PASCOE VALE SOUTH",37
"329","2018","PATTERSON LAKES",30
"330","2018","PEARCEDALE",10
"331","2018","PLENTY",9
"332","2018","PLUMPTON",18
"333","2018","POINT COOK",174
"334","2018","PORT MELBOURNE",96
"335","2018","PORTSEA",12
"336","2018","POWELLTOWN",3
"337","2018","PRAHRAN",81
"338","2018","PRESTON",143
"339","2018","RED HILL",7
"340","2018","REEFTON",1
"341","2018","RESEARCH",17
"342","2018","RESERVOIR",217
"343","2018","RICHMOND",174
"344","2018","RINGWOOD",87
"345","2018","RINGWOOD EAST",62
"346","2018","RINGWOOD NORTH",41
"347","2018","RIPPONLEA",9
"348","2018","ROCKBANK",9
"349","2018","ROSANNA",46
"350","2018","ROSEBUD",101
"351","2018","ROWVILLE",101
"352","2018","ROXBURGH PARK",78
"353","2018","RYE",88
"354","2018","SAFETY BEACH",50
"355","2018","SANDHURST",11
"356","2018","SANDRINGHAM",55
"357","2018","SASSAFRAS",6
"358","2018","SCORESBY",16
"359","2018","SEABROOK",11
"360","2018","SEAFORD",84
"361","2018","SEAHOLME",8
"362","2018","SEDDON",25
"363","2018","SELBY",11
"364","2018","SEVILLE",9
"365","2018","SEVILLE EAST",7
"366","2018","SHERBROOKE",2
"367","2018","SHOREHAM",4
"368","2018","SILVAN",1
"369","2018","SKYE",31
"370","2018","SMITHS GULLY",1
"371","2018","SOMERS",6
"372","2018","SOMERVILLE",45
"373","2018","SORRENTO",21
"374","2018","SOUTH KINGSVILLE",11
"375","2018","SOUTH MELBOURNE",54
"376","2018","SOUTH MORANG",92
"377","2018","SOUTH YARRA",147
"378","2018","SOUTHBANK",126
"379","2018","SPOTSWOOD",12
"380","2018","SPRINGVALE",42
"381","2018","SPRINGVALE SOUTH",28
"382","2018","ST ALBANS",95
"383","2018","ST ANDREWS",3
"384","2018","ST ANDREWS BEACH",4
"385","2018","ST HELENA",9
"386","2018","ST KILDA",153
"387","2018","ST KILDA EAST",95
"388","2018","ST KILDA WEST",16
"389","2018","STEELS CREEK",1
"390","2018","STRATHMORE",56
"391","2018","STRATHMORE HEIGHTS",3
"392","2018","STRATHTULLOH",2
"393","2018","SUNBURY",194
"394","2018","SUNSHINE",38
"395","2018","SUNSHINE NORTH",31
"396","2018","SUNSHINE WEST",56
"397","2018","SURREY HILLS",52
"398","2018","SYDENHAM",33
"399","2018","TARNEIT",188
"400","2018","TAYLORS HILL",54
